gene_id,name,chrom,start,end,strand,length_bp,source_sheet,source_row,source_chrom,source_start,source_end
ykgA:316486-317169:-,ykgA,NC_000913.3,316485,317169,-,684,Supplementary Table 1,886,MG1655,316486,317169
lpxP:2495645-2496565:+,lpxP,NC_000913.3,2495644,2496565,+,921,Supplementary Table 1,887,MG1655,2495645,2496565
gabD:2791273-2792721:+,gabD,NC_000913.3,2791272,2792721,+,1449,Supplementary Table 1,888,MG1655,2791273,2792721
bglA:3043662-3045101:+,bglA,NC_000913.3,3043661,3045101,+,1440,Supplementary Table 1,889,MG1655,3043662,3045101
ilvC:3957970-3959445:+,ilvC,NC_000913.3,3957969,3959445,+,1476,Supplementary Table 1,890,MG1655,3957970,3959445
pflD:4143995-4146292:+,pflD,NC_000913.3,4143994,4146292,+,2298,Supplementary Table 1,891,MG1655,4143995,4146292
dcuB:4347404-4348744:-,dcuB,NC_000913.3,4347403,4348744,-,1341,Supplementary Table 1,892,MG1655,4347404,4348744
yciW:1348980-1350107:-,yciW,NC_000913.3,1348979,1350107,-,1128,Supplementary Table 1,893,MG1655,1348980,1350107
yicS:3840215-3840508:+,yicS,NC_000913.3,3840214,3840508,+,294,Supplementary Table 1,894,MG1655,3840215,3840508
cyoC:448046-448660:-,cyoC,NC_000913.3,448045,448660,-,615,Supplementary Table 1,895,MG1655,448046,448660
pinR:1433084-1433674:-,pinR,NC_000913.3,1433083,1433674,-,591,Supplementary Table 1,896,MG1655,1433084,1433674
yjaB:4213680-4214123:-,yjaB,NC_000913.3,4213679,4214123,-,444,Supplementary Table 1,897,MG1655,4213680,4214123
argX:3982375-3982451:+,argX,NC_000913.3,3982374,3982451,+,77,Supplementary Table 1,898,MG1655,3982375,3982451
lptB:3343944-3344669:+,lptB,NC_000913.3,3343943,3344669,+,726,Supplementary Table 1,899,MG1655,3343944,3344669
groL:4371025-4372671:+,groL,NC_000913.3,4371024,4372671,+,1647,Supplementary Table 1,900,MG1655,4371025,4372671
fre:4026527-4027228:+,fre,NC_000913.3,4026526,4027228,+,702,Supplementary Table 1,901,MG1655,4026527,4027228
ompX:850450-850965:+,ompX,NC_000913.3,850449,850965,+,516,Supplementary Table 1,902,MG1655,850450,850965
purD:4204642-4205931:-,purD,NC_000913.3,4204641,4205931,-,1290,Supplementary Table 1,903,MG1655,4204642,4205931
wzxE:3976278-3977528:+,wzxE,NC_000913.3,3976277,3977528,+,1251,Supplementary Table 1,904,MG1655,3976278,3977528
sra:1555826-1555963:-,sra,NC_000913.3,1555825,1555963,-,138,Supplementary Table 1,905,MG1655,1555826,1555963
yacC:136570-136917:-,yacC,NC_000913.3,136569,136917,-,348,Supplementary Table 1,906,MG1655,136570,136917
ybbO:518340-519149:-,ybbO,NC_000913.3,518339,519149,-,810,Supplementary Table 1,907,MG1655,518340,519149
wecA:3967916-3969019:+,wecA,NC_000913.3,3967915,3969019,+,1104,Supplementary Table 1,908,MG1655,3967916,3969019
srlD:2827737-2828516:+,srlD,NC_000913.3,2827736,2828516,+,780,Supplementary Table 1,909,MG1655,2827737,2828516
aslA:3984352-3986007:-,aslA,NC_000913.3,3984351,3986007,-,1656,Supplementary Table 1,910,MG1655,3984352,3986007
potC:1182826-1183620:-,potC,NC_000913.3,1182825,1183620,-,795,Supplementary Table 1,911,MG1655,1182826,1183620
aroE:3430020-3430838:-,aroE,NC_000913.3,3430019,3430838,-,819,Supplementary Table 1,912,MG1655,3430020,3430838
ydcS:1511654-1512799:+,ydcS,NC_000913.3,1511653,1512799,+,1146,Supplementary Table 1,913,MG1655,1511654,1512799
gltA:753185-754468:-,gltA,NC_000913.3,753184,754468,-,1284,Supplementary Table 1,914,MG1655,753185,754468
queG:4392928-4394067:-,queG,NC_000913.3,4392927,4394067,-,1140,Supplementary Table 1,915,MG1655,4392928,4394067
ubiD:4024988-4026481:+,ubiD,NC_000913.3,4024987,4026481,+,1494,Supplementary Table 1,916,MG1655,4024988,4026481
polA:4046966-4049752:+,polA,NC_000913.3,4046965,4049752,+,2787,Supplementary Table 1,917,MG1655,4046966,4049752
yidA:3876140-3876952:-,yidA,NC_000913.3,3876139,3876952,-,813,Supplementary Table 1,918,MG1655,3876140,3876952
ggt:3585081-3586823:-,ggt,NC_000913.3,3585080,3586823,-,1743,Supplementary Table 1,919,MG1655,3585081,3586823
elaB:2380722-2381027:-,elaB,NC_000913.3,2380721,2381027,-,306,Supplementary Table 1,920,MG1655,2380722,2381027
gsk:500125-501429:+,gsk,NC_000913.3,500124,501429,+,1305,Supplementary Table 1,921,MG1655,500125,501429
wrbA:1067112-1067708:-,wrbA,NC_000913.3,1067111,1067708,-,597,Supplementary Table 1,922,MG1655,1067112,1067708
sibA:2153309-2153451:+,sibA,NC_000913.3,2153308,2153451,+,143,Supplementary Table 1,923,MG1655,2153309,2153451
frlB:3501268-3502290:+,frlB,NC_000913.3,3501267,3502290,+,1023,Supplementary Table 1,924,MG1655,3501268,3502290
hslO:3529774-3530652:+,hslO,NC_000913.3,3529773,3530652,+,879,Supplementary Table 1,925,MG1655,3529774,3530652
yfdX:2493767-2494402:-,yfdX,NC_000913.3,2493766,2494402,-,636,Supplementary Table 1,926,MG1655,2493767,2494402
ilvI:85630-87354:+,ilvI,NC_000913.3,85629,87354,+,1725,Supplementary Table 1,927,MG1655,85630,87354
ylbH:527952-528659:+,ylbH,NC_000913.3,527951,528659,+,708,Supplementary Table 1,928,MG1655,527952,528659
yqeJ:2989304-2989786:+,yqeJ,NC_000913.3,2989303,2989786,+,483,Supplementary Table 1,929,MG1655,2989304,2989786
folP:3324063-3324911:-,folP,NC_000913.3,3324062,3324911,-,849,Supplementary Table 1,930,MG1655,3324063,3324911
tldD:3390583-3392028:-,tldD,NC_000913.3,3390582,3392028,-,1446,Supplementary Table 1,931,MG1655,3390583,3392028
araE:2980764-2982182:-,araE,NC_000913.3,2980763,2982182,-,1419,Supplementary Table 1,932,MG1655,2980764,2982182
yphD:2675827-2676825:-,yphD,NC_000913.3,2675826,2676825,-,999,Supplementary Table 1,933,MG1655,2675827,2676825
talA:2578666-2579616:+,talA,NC_000913.3,2578665,2579616,+,951,Supplementary Table 1,934,MG1655,2578666,2579616
hsdM:4581459-4583048:-,hsdM,NC_000913.3,4581458,4583048,-,1590,Supplementary Table 1,935,MG1655,4581459,4583048
essQ:1640370-1640585:-,essQ,NC_000913.3,1640369,1640585,-,216,Supplementary Table 1,936,MG1655,1640370,1640585
patD:1515578-1517002:+,patD,NC_000913.3,1515577,1517002,+,1425,Supplementary Table 1,937,MG1655,1515578,1517002
ecnA:4376317-4376442:+,ecnA,NC_000913.3,4376316,4376442,+,126,Supplementary Table 1,938,MG1655,4376317,4376442
glnQ:845741-846463:-,glnQ,NC_000913.3,845740,846463,-,723,Supplementary Table 1,939,MG1655,845741,846463
rpsM:3442115-3442471:-,rpsM,NC_000913.3,3442114,3442471,-,357,Supplementary Table 1,940,MG1655,3442115,3442471
sdhE:3040804-3041070:-,sdhE,NC_000913.3,3040803,3041070,-,267,Supplementary Table 1,941,MG1655,3040804,3041070
rng:3396326-3397795:-,rng,NC_000913.3,3396325,3397795,-,1470,Supplementary Table 1,942,MG1655,3396326,3397795
gstB:879854-880480:-,gstB,NC_000913.3,879853,880480,-,627,Supplementary Table 1,943,MG1655,879854,880480
degS:3382200-3383267:+,degS,NC_000913.3,3382199,3383267,+,1068,Supplementary Table 1,944,MG1655,3382200,3383267
asnA:3927155-3928147:+,asnA,NC_000913.3,3927154,3928147,+,993,Supplementary Table 1,945,MG1655,3927155,3928147
ibaG:3336549-3336803:-,ibaG,NC_000913.3,3336548,3336803,-,255,Supplementary Table 1,946,MG1655,3336549,3336803
yfdP:2473604-2473966:+,yfdP,NC_000913.3,2473603,2473966,+,363,Supplementary Table 1,947,MG1655,2473604,2473966
alsC:4308489-4309469:-,alsC,NC_000913.3,4308488,4309469,-,981,Supplementary Table 1,948,MG1655,4308489,4309469
ynhF:1737456-1737545:-,ynhF,NC_000913.3,1737455,1737545,-,90,Supplementary Table 1,949,MG1655,1737456,1737545
ydgD:1671960-1672781:+,ydgD,NC_000913.3,1671959,1672781,+,822,Supplementary Table 1,950,MG1655,1671960,1672781
yeeE:2084467-2085525:-,yeeE,NC_000913.3,2084466,2085525,-,1059,Supplementary Table 1,951,MG1655,2084467,2085525
ffs:476448-476561:+,ffs,NC_000913.3,476447,476561,+,114,Supplementary Table 1,952,MG1655,476448,476561
nrdA:2344865-2347150:+,nrdA,NC_000913.3,2344864,2347150,+,2286,Supplementary Table 1,953,MG1655,2344865,2347150
opgC:1107784-1108941:-,opgC,NC_000913.3,1107783,1108941,-,1158,Supplementary Table 1,954,MG1655,1107784,1108941
wecC:3971260-3972522:+,wecC,NC_000913.3,3971259,3972522,+,1263,Supplementary Table 1,955,MG1655,3971260,3972522
fecI:4517714-4518235:-,fecI,NC_000913.3,4517713,4518235,-,522,Supplementary Table 1,956,MG1655,4517714,4518235
trxA:3965761-3966090:+,trxA,NC_000913.3,3965760,3966090,+,330,Supplementary Table 1,957,MG1655,3965761,3966090
fdx:2656748-2657083:-,fdx,NC_000913.3,2656747,2657083,-,336,Supplementary Table 1,958,MG1655,2656748,2657083
ybfL:736825-737961:+,ybfL,NC_000913.3,736824,737961,+,1137,Supplementary Table 1,959,MG1655,736825,737961
ydiP:1778390-1779301:-,ydiP,NC_000913.3,1778389,1779301,-,912,Supplementary Table 1,960,MG1655,1778390,1779301
aceF:125695-127587:+,aceF,NC_000913.3,125694,127587,+,1893,Supplementary Table 1,961,MG1655,125695,127587
thrA:337-2799:+,thrA,NC_000913.3,336,2799,+,2463,Supplementary Table 1,962,MG1655,337,2799
yigL:4010200-4011000:+,yigL,NC_000913.3,4010199,4011000,+,801,Supplementary Table 1,963,MG1655,4010200,4011000
yagH:286789-288399:+,yagH,NC_000913.3,286788,288399,+,1611,Supplementary Table 1,964,MG1655,286789,288399
atpD:3915993-3917375:-,atpD,NC_000913.3,3915992,3917375,-,1383,Supplementary Table 1,965,MG1655,3915993,3917375
ybcH:587091-587981:-,ybcH,NC_000913.3,587090,587981,-,891,Supplementary Table 1,966,MG1655,587091,587981
ygeQ:2997692-2998828:-,ygeQ,NC_000913.3,2997691,2998828,-,1137,Supplementary Table 1,967,MG1655,2997692,2998828
rob:4634441-4635310:-,rob,NC_000913.3,4634440,4635310,-,870,Supplementary Table 1,968,MG1655,4634441,4635310
yigF:4002419-4002799:-,yigF,NC_000913.3,4002418,4002799,-,381,Supplementary Table 1,969,MG1655,4002419,4002799
ligT:161501-162031:-,ligT,NC_000913.3,161500,162031,-,531,Supplementary Table 1,970,MG1655,161501,162031
hslR:3529348-3529749:+,hslR,NC_000913.3,3529347,3529749,+,402,Supplementary Table 1,971,MG1655,3529348,3529749
nhaR:18715-19620:+,nhaR,NC_000913.3,18714,19620,+,906,Supplementary Table 1,972,MG1655,18715,19620
ydfK:1633072-1633305:+,ydfK,NC_000913.3,1633071,1633305,+,234,Supplementary Table 1,973,MG1655,1633072,1633305
mgrB:1908623-1908766:-,mgrB,NC_000913.3,1908622,1908766,-,144,Supplementary Table 1,974,MG1655,1908623,1908766
agaR:3277856-3278665:-,agaR,NC_000913.3,3277855,3278665,-,810,Supplementary Table 1,975,MG1655,3277856,3278665
nanR:3373698-3374489:-,nanR,NC_000913.3,3373697,3374489,-,792,Supplementary Table 1,976,MG1655,3373698,3374489
pgk:3071459-3072622:-,pgk,NC_000913.3,3071458,3072622,-,1164,Supplementary Table 1,977,MG1655,3071459,3072622
yghR:3132454-3133212:-,yghR,NC_000913.3,3132453,3133212,-,759,Supplementary Table 1,978,MG1655,3132454,3133212
xerC:3996287-3997183:+,xerC,NC_000913.3,3996286,3997183,+,897,Supplementary Table 1,979,MG1655,3996287,3997183
cyaA:3991153-3993699:+,cyaA,NC_000913.3,3991152,3993699,+,2547,Supplementary Table 1,980,MG1655,3991153,3993699
yaaX:5234-5530:+,yaaX,NC_000913.3,5233,5530,+,297,Supplementary Table 1,981,MG1655,5234,5530
nlpE:215269-215979:+,nlpE,NC_000913.3,215268,215979,+,711,Supplementary Table 1,982,MG1655,215269,215979
folK:157253-157732:-,folK,NC_000913.3,157252,157732,-,480,Supplementary Table 1,983,MG1655,157253,157732
icdC:1211413-1211577:+,icdC,NC_000913.3,1211412,1211577,+,165,Supplementary Table 1,984,MG1655,1211413,1211577
rimJ:1125562-1126146:+,rimJ,NC_000913.3,1125561,1126146,+,585,Supplementary Table 1,985,MG1655,1125562,1126146
yjiV:4573919-4576855:+,yjiV,NC_000913.3,4573918,4576855,+,2937,Supplementary Table 1,986,MG1655,4573919,4576855
crp:3486120-3486752:+,crp,NC_000913.3,3486119,3486752,+,633,Supplementary Table 1,987,MG1655,3486120,3486752
mtlD:3774424-3775572:+,mtlD,NC_000913.3,3774423,3775572,+,1149,Supplementary Table 1,988,MG1655,3774424,3775572
modA:795089-795862:+,modA,NC_000913.3,795088,795862,+,774,Supplementary Table 1,989,MG1655,795089,795862
yfbM:2386934-2387437:+,yfbM,NC_000913.3,2386933,2387437,+,504,Supplementary Table 1,990,MG1655,2386934,2387437
yjjX:4633233-4633745:-,yjjX,NC_000913.3,4633232,4633745,-,513,Supplementary Table 1,991,MG1655,4633233,4633745
cysM:2538672-2539583:-,cysM,NC_000913.3,2538671,2539583,-,912,Supplementary Table 1,992,MG1655,2538672,2539583
fdoI:4081225-4081860:-,fdoI,NC_000913.3,4081224,4081860,-,636,Supplementary Table 1,993,MG1655,4081225,4081860
flhC:1977266-1977844:-,flhC,NC_000913.3,1977265,1977844,-,579,Supplementary Table 1,994,MG1655,1977266,1977844
flgM:1129835-1130128:-,flgM,NC_000913.3,1129834,1130128,-,294,Supplementary Table 1,995,MG1655,1129835,1130128
yheS:3481289-3483202:+,yheS,NC_000913.3,3481288,3483202,+,1914,Supplementary Table 1,996,MG1655,3481289,3483202
yidR:3868062-3869309:-,yidR,NC_000913.3,3868061,3869309,-,1248,Supplementary Table 1,997,MG1655,3868062,3869309
yjhR:4534791-4536031:+,yjhR,NC_000913.3,4534790,4536031,+,1241,Supplementary Table 1,998,MG1655,4534791,4536031
yheU:3484218-3484436:+,yheU,NC_000913.3,3484217,3484436,+,219,Supplementary Table 1,999,MG1655,3484218,3484436
wecD:3974467-3975141:+,wecD,NC_000913.3,3974466,3975141,+,675,Supplementary Table 1,1000,MG1655,3974467,3975141
iaaA:866568-867533:+,iaaA,NC_000913.3,866567,867533,+,966,Supplementary Table 1,1001,MG1655,866568,867533
ypeB:2527941-2528159:-,ypeB,NC_000913.3,2527940,2528159,-,219,Supplementary Table 1,1002,MG1655,2527941,2528159
tauA:385232-386194:+,tauA,NC_000913.3,385231,386194,+,963,Supplementary Table 1,1003,MG1655,385232,386194
hisM:2424517-2425233:-,hisM,NC_000913.3,2424516,2425233,-,717,Supplementary Table 1,1004,MG1655,2424517,2425233
truC:2923002-2923784:-,truC,NC_000913.3,2923001,2923784,-,783,Supplementary Table 1,1005,MG1655,2923002,2923784
leuX:4496405-4496489:+,leuX,NC_000913.3,4496404,4496489,+,85,Supplementary Table 1,1006,MG1655,4496405,4496489
sibD:3194723-3194865:-,sibD,NC_000913.3,3194722,3194865,-,143,Supplementary Table 1,1007,MG1655,3194723,3194865
tsx:431129-432013:-,tsx,NC_000913.3,431128,432013,-,885,Supplementary Table 1,1008,MG1655,431129,432013
adhP:1552828-1553838:-,adhP,NC_000913.3,1552827,1553838,-,1011,Supplementary Table 1,1009,MG1655,1552828,1553838
zraS:4201926-4203323:+,zraS,NC_000913.3,4201925,4203323,+,1398,Supplementary Table 1,1010,MG1655,4201926,4203323
sodA:4100810-4101430:+,sodA,NC_000913.3,4100809,4101430,+,621,Supplementary Table 1,1011,MG1655,4100810,4101430
pinQ:1633622-1634212:+,pinQ,NC_000913.3,1633621,1634212,+,591,Supplementary Table 1,1012,MG1655,1633622,1634212
dusB:3410280-3411245:+,dusB,NC_000913.3,3410279,3411245,+,966,Supplementary Table 1,1013,MG1655,3410280,3411245
aroL:406405-406929:+,aroL,NC_000913.3,406404,406929,+,525,Supplementary Table 1,1014,MG1655,406405,406929
mdtM:4567287-4568519:-,mdtM,NC_000913.3,4567286,4568519,-,1233,Supplementary Table 1,1015,MG1655,4567287,4568519
yicN:3841950-3842402:-,yicN,NC_000913.3,3841949,3842402,-,453,Supplementary Table 1,1016,MG1655,3841950,3842402
lysU:4353200-4354717:-,lysU,NC_000913.3,4353199,4354717,-,1518,Supplementary Table 1,1017,MG1655,4353200,4354717
ryfD:2734153-2734295:-,ryfD,NC_000913.3,2734152,2734295,-,143,Supplementary Table 1,1018,MG1655,2734153,2734295
wzb:2135655-2136098:-,wzb,NC_000913.3,2135654,2136098,-,444,Supplementary Table 1,1019,MG1655,2135655,2136098
yhfL:3499448-3499615:+,yhfL,NC_000913.3,3499447,3499615,+,168,Supplementary Table 1,1020,MG1655,3499448,3499615
glmY:2691157-2691340:-,glmY,NC_000913.3,2691156,2691340,-,184,Supplementary Table 1,1021,MG1655,2691157,2691340
glnD:185978-188650:-,glnD,NC_000913.3,185977,188650,-,2673,Supplementary Table 1,1022,MG1655,185978,188650
yhfZ:3511439-3512344:-,yhfZ,NC_000913.3,3511438,3512344,-,906,Supplementary Table 1,1023,MG1655,3511439,3512344
yjgB:4495190-4496209:-,yjgB,NC_000913.3,4495189,4496209,-,1020,Supplementary Table 1,1024,MG1655,4495190,4496209
mdh:3383330-3384268:-,mdh,NC_000913.3,3383329,3384268,-,939,Supplementary Table 1,1025,MG1655,3383330,3384268
caiA:39244-40386:-,caiA,NC_000913.3,39243,40386,-,1143,Supplementary Table 1,1026,MG1655,39244,40386
yffB:2591247-2591603:+,yffB,NC_000913.3,2591246,2591603,+,357,Supplementary Table 1,1027,MG1655,2591247,2591603
wecH:3725887-3726882:+,wecH,NC_000913.3,3725886,3726882,+,996,Supplementary Table 1,1028,MG1655,3725887,3726882
flgN:1129414-1129830:-,flgN,NC_000913.3,1129413,1129830,-,417,Supplementary Table 1,1029,MG1655,1129414,1129830
rcsF:219591-219995:-,rcsF,NC_000913.3,219590,219995,-,405,Supplementary Table 1,1030,MG1655,219591,219995
yfgH:2629792-2630310:+,yfgH,NC_000913.3,2629791,2630310,+,519,Supplementary Table 1,1031,MG1655,2629792,2630310
atpH:3919870-3920403:-,atpH,NC_000913.3,3919869,3920403,-,534,Supplementary Table 1,1032,MG1655,3919870,3920403
htpG:495120-496994:+,htpG,NC_000913.3,495119,496994,+,1875,Supplementary Table 1,1033,MG1655,495120,496994
dnaB:4264314-4265729:+,dnaB,NC_000913.3,4264313,4265729,+,1416,Supplementary Table 1,1034,MG1655,4264314,4265729
thiF:4192821-4193576:-,thiF,NC_000913.3,4192820,4193576,-,756,Supplementary Table 1,1035,MG1655,4192821,4193576
yhjA:3667791-3669188:-,yhjA,NC_000913.3,3667790,3669188,-,1398,Supplementary Table 1,1036,MG1655,3667791,3669188
pphB:2859760-2860416:+,pphB,NC_000913.3,2859759,2860416,+,657,Supplementary Table 1,1037,MG1655,2859760,2860416
rplK:4178447-4178875:+,rplK,NC_000913.3,4178446,4178875,+,429,Supplementary Table 1,1038,MG1655,4178447,4178875
uxuA:4551636-4552820:+,uxuA,NC_000913.3,4551635,4552820,+,1185,Supplementary Table 1,1039,MG1655,4551636,4552820
relA:2911417-2913651:-,relA,NC_000913.3,2911416,2913651,-,2235,Supplementary Table 1,1040,MG1655,2911417,2913651
purH:4205943-4207532:-,purH,NC_000913.3,4205942,4207532,-,1590,Supplementary Table 1,1041,MG1655,4205943,4207532
yncL:1517099-1517194:-,yncL,NC_000913.3,1517098,1517194,-,96,Supplementary Table 1,1042,MG1655,1517099,1517194
pyrH:191855-192580:+,pyrH,NC_000913.3,191854,192580,+,726,Supplementary Table 1,1043,MG1655,191855,192580
yjgL:4475437-4477251:+,yjgL,NC_000913.3,4475436,4477251,+,1815,Supplementary Table 1,1044,MG1655,4475437,4477251
dppD:3702865-3703848:-,dppD,NC_000913.3,3702864,3703848,-,984,Supplementary Table 1,1045,MG1655,3702865,3703848
yrhB:3584759-3585043:+,yrhB,NC_000913.3,3584758,3585043,+,285,Supplementary Table 1,1046,MG1655,3584759,3585043
atpF:3920418-3920888:-,atpF,NC_000913.3,3920417,3920888,-,471,Supplementary Table 1,1047,MG1655,3920418,3920888
stpA:2798091-2798495:-,stpA,NC_000913.3,2798090,2798495,-,405,Supplementary Table 1,1048,MG1655,2798091,2798495
srlE:2826392-2827351:+,srlE,NC_000913.3,2826391,2827351,+,960,Supplementary Table 1,1049,MG1655,2826392,2827351
yrdE:3404638-3405031:+,yrdE,NC_000913.3,3404637,3405031,+,394,Supplementary Table 1,1050,MG1655,3404638,3405031
glpE:3561497-3561823:-,glpE,NC_000913.3,3561496,3561823,-,327,Supplementary Table 1,1051,MG1655,3561497,3561823
garL:3272787-3273557:-,garL,NC_000913.3,3272786,3273557,-,771,Supplementary Table 1,1052,MG1655,3272787,3273557
fimD:4545096-4547732:+,fimD,NC_000913.3,4545095,4547732,+,2637,Supplementary Table 1,1053,MG1655,4545096,4547732
umuD:1230767-1231186:+,umuD,NC_000913.3,1230766,1231186,+,420,Supplementary Table 1,1054,MG1655,1230767,1231186
rpsH:3446153-3446545:-,rpsH,NC_000913.3,3446152,3446545,-,393,Supplementary Table 1,1055,MG1655,3446153,3446545
nirC:3497003-3497809:+,nirC,NC_000913.3,3497002,3497809,+,807,Supplementary Table 1,1056,MG1655,3497003,3497809
malY:1700957-1702129:+,malY,NC_000913.3,1700956,1702129,+,1173,Supplementary Table 1,1057,MG1655,1700957,1702129
nlpI:3308040-3308924:-,nlpI,NC_000913.3,3308039,3308924,-,885,Supplementary Table 1,1058,MG1655,3308040,3308924
atpC:3915553-3915972:-,atpC,NC_000913.3,3915552,3915972,-,420,Supplementary Table 1,1059,MG1655,3915553,3915972
metE:4013053-4015314:+,metE,NC_000913.3,4013052,4015314,+,2262,Supplementary Table 1,1060,MG1655,4013053,4015314
rsmD:3604393-3604989:+,rsmD,NC_000913.3,3604392,3604989,+,597,Supplementary Table 1,1061,MG1655,3604393,3604989
holC:4483837-4484280:-,holC,NC_000913.3,4483836,4484280,-,444,Supplementary Table 1,1062,MG1655,4483837,4484280
argE:4153696-4154847:-,argE,NC_000913.3,4153695,4154847,-,1152,Supplementary Table 1,1063,MG1655,4153696,4154847
yafT:237335-238120:+,yafT,NC_000913.3,237334,238120,+,786,Supplementary Table 1,1064,MG1655,237335,238120
frlC:3502340-3503170:+,frlC,NC_000913.3,3502339,3503170,+,831,Supplementary Table 1,1065,MG1655,3502340,3503170
yafD:231122-231922:+,yafD,NC_000913.3,231121,231922,+,801,Supplementary Table 1,1066,MG1655,231122,231922
puuC:1362743-1364230:+,puuC,NC_000913.3,1362742,1364230,+,1488,Supplementary Table 1,1067,MG1655,1362743,1364230
ubiE:4018855-4019610:+,ubiE,NC_000913.3,4018854,4019610,+,756,Supplementary Table 1,1068,MG1655,4018855,4019610
metZ:2947387-2947463:+,metZ,NC_000913.3,2947386,2947463,+,77,Supplementary Table 1,1069,MG1655,2947387,2947463
ydbK:1437260-1440784:-,ydbK,NC_000913.3,1437259,1440784,-,3525,Supplementary Table 1,1070,MG1655,1437260,1440784
alr:4265782-4266861:+,alr,NC_000913.3,4265781,4266861,+,1080,Supplementary Table 1,1071,MG1655,4265782,4266861
hyaA:1032139-1033257:+,hyaA,NC_000913.3,1032138,1033257,+,1119,Supplementary Table 1,1072,MG1655,1032139,1033257
yfjH:2757644-2758600:-,yfjH,NC_000913.3,2757643,2758600,-,957,Supplementary Table 1,1073,MG1655,2757644,2758600
pntB:1674972-1676360:-,pntB,NC_000913.3,1674971,1676360,-,1389,Supplementary Table 1,1074,MG1655,1674972,1676360
tdk:1293527-1294144:+,tdk,NC_000913.3,1293526,1294144,+,618,Supplementary Table 1,1075,MG1655,1293527,1294144
spoT:3822400-3824508:+,spoT,NC_000913.3,3822399,3824508,+,2109,Supplementary Table 1,1076,MG1655,3822400,3824508
yahD:335280-335885:+,yahD,NC_000913.3,335279,335885,+,606,Supplementary Table 1,1077,MG1655,335280,335885
yiaG:3719478-3719768:+,yiaG,NC_000913.3,3719477,3719768,+,291,Supplementary Table 1,1078,MG1655,3719478,3719768
ynfN:1637954-1638109:-,ynfN,NC_000913.3,1637953,1638109,-,156,Supplementary Table 1,1079,MG1655,1637954,1638109
yiaY:3756676-3757827:-,yiaY,NC_000913.3,3756675,3757827,-,1152,Supplementary Table 1,1080,MG1655,3756676,3757827
uhpA:3850136-3850726:-,uhpA,NC_000913.3,3850135,3850726,-,591,Supplementary Table 1,1081,MG1655,3850136,3850726
yicR:3811891-3812559:-,yicR,NC_000913.3,3811890,3812559,-,669,Supplementary Table 1,1082,MG1655,3811891,3812559
skp:200482-200967:+,skp,NC_000913.3,200481,200967,+,486,Supplementary Table 1,1083,MG1655,200482,200967
ydbH:1443051-1445690:+,ydbH,NC_000913.3,1443050,1445690,+,2640,Supplementary Table 1,1084,MG1655,1443051,1445690
selC:3836222-3836316:+,selC,NC_000913.3,3836221,3836316,+,95,Supplementary Table 1,1085,MG1655,3836222,3836316
udp:4016431-4017192:+,udp,NC_000913.3,4016430,4017192,+,762,Supplementary Table 1,1086,MG1655,4016431,4017192
gyrB:3877705-3880119:-,gyrB,NC_000913.3,3877704,3880119,-,2415,Supplementary Table 1,1087,MG1655,3877705,3880119
uspF:1435185-1435619:-,uspF,NC_000913.3,1435184,1435619,-,435,Supplementary Table 1,1088,MG1655,1435185,1435619
rbfA:3312777-3313178:-,rbfA,NC_000913.3,3312776,3313178,-,402,Supplementary Table 1,1089,MG1655,3312777,3313178
ascF:2839524-2840981:+,ascF,NC_000913.3,2839523,2840981,+,1458,Supplementary Table 1,1090,MG1655,2839524,2840981
pyrG:2908029-2909666:-,pyrG,NC_000913.3,2908028,2909666,-,1638,Supplementary Table 1,1091,MG1655,2908029,2909666
def:3433690-3434199:+,def,NC_000913.3,3433689,3434199,+,510,Supplementary Table 1,1092,MG1655,3433690,3434199
yebC:1947411-1948151:-,yebC,NC_000913.3,1947410,1948151,-,741,Supplementary Table 1,1093,MG1655,1947411,1948151
ygbE:2873014-2873337:-,ygbE,NC_000913.3,2873013,2873337,-,324,Supplementary Table 1,1094,MG1655,2873014,2873337
yaiT:390251-391708:+,yaiT,NC_000913.3,390250,391708,+,1458,Supplementary Table 1,1095,MG1655,390251,391708
yaiT:392970-394418:+,yaiT,NC_000913.3,392969,394418,+,1449,Supplementary Table 1,1096,MG1655,392970,394418
ybdN:635349-636569:-,ybdN,NC_000913.3,635348,636569,-,1221,Supplementary Table 1,1097,MG1655,635349,636569
ppiC:3959532-3959813:-,ppiC,NC_000913.3,3959531,3959813,-,282,Supplementary Table 1,1098,MG1655,3959532,3959813
ybgS:784937-785317:-,ybgS,NC_000913.3,784936,785317,-,381,Supplementary Table 1,1099,MG1655,784937,785317
fecD:4511458-4512414:-,fecD,NC_000913.3,4511457,4512414,-,957,Supplementary Table 1,1100,MG1655,4511458,4512414
hisR:3982509-3982585:+,hisR,NC_000913.3,3982508,3982585,+,77,Supplementary Table 1,1101,MG1655,3982509,3982585
nadE:1822458-1823285:+,nadE,NC_000913.3,1822457,1823285,+,828,Supplementary Table 1,1102,MG1655,1822458,1823285
chbA:1819455-1819805:-,chbA,NC_000913.3,1819454,1819805,-,351,Supplementary Table 1,1103,MG1655,1819455,1819805
yqgB:3085920-3086051:-,yqgB,NC_000913.3,3085919,3086051,-,132,Supplementary Table 1,1104,MG1655,3085920,3086051
yciC:1312920-1313663:-,yciC,NC_000913.3,1312919,1313663,-,744,Supplementary Table 1,1105,MG1655,1312920,1313663
